H2,mapping
afs,svces
atp,svces
b_t,food
bph,mnfcs
c_b,crops
chm,mnfcs
cmn,svces
cmt,food
cns,svces
coa,mnfcs
ctl,livestock
dwe,svces
edu,svces
eeq,mnfcs
ele,mnfcs
ely,mnfcs
fmp,mnfcs
frs,mnfcs
fsh,food
gas,mnfcs
gdt,mnfcs
gro,crops
hht,svces
i_s,mnfcs
ins,svces
lea,mnfcs
lum,mnfcs
mil,food
mvh,mnfcs
nfm,mnfcs
nmm,mnfcs
oap,food
obs,svces
ocr,crops
ofd,food
ofi,svces
oil,mnfcs
ome,mnfcs
omf,mnfcs
omt,food
osd,crops
osg,svces
otn,mnfcs
otp,svces
oxt,mnfcs
p_c,mnfcs
pcr,food
pdr,crops
pfb,crops
ppp,mnfcs
rmk,livestock
ros,svces
rpp,mnfcs
rsa,svces
sgr,food
tex,mnfcs
trd,svces
v_f,crops
vol,food
wap,mnfcs
whs,svces
wht,crops
wol,livestock
wtp,svces
wtr,svces
