ACTS,mapping
atp,svces
b_t,food
c_b,crops
cmn,svces
cmt,food
cns,svces
coa,mnfcs
crp,mnfcs
ctl,livestock
dwe,svces
ele,mnfcs
ely,mnfcs
fmp,mnfcs
frs,mnfcs
fsh,food
gas,mnfcs
gdt,mnfcs
gro,crops
i_s,mnfcs
isr,svces
lea,mnfcs
lum,mnfcs
mil,food
mvh,mnfcs
nfm,mnfcs
nmm,mnfcs
oap,food
obs,svces
ocr,crops
ofd,food
ofi,svces
oil,mnfcs
ome,mnfcs
omf,mnfcs
omn,mnfcs
omt,food
osd,crops
osg,svces
otn,mnfcs
otp,svces
p_c,mnfcs
pcr,food
pdr,crops
pfb,crops
ppp,mnfcs
rmk,livestock
ros,svces
sgr,food
tex,mnfcs
trd,svces
v_f,crops
vol,food
wap,mnfcs
wht,crops
wol,livestock
wtp,svces
wtr,svces
