ACTS,mapping
afs,svces
atp,atp
b_t,food
bph,mnfcs
c_b,crops
chm,chm
cmn,svces
cmt,food
cns,svces
coa,coa
ctl,ctl
dwe,svces
edu,svces
eeq,mnfcs
ele,mnfcs
ely,ely
fmp,mnfcs
frs,frs
fsh,food
gas,gas
gdt,gdt
gro,crops
hht,svces
i_s,i_s
ins,svces
lea,mnfcs
lum,mnfcs
mil,food
mvh,mnfcs
nfm,nfm
nmm,nmm
oap,livestock
obs,svces
ocr,crops
ofd,food
ofi,svces
oil,oil
ome,mnfcs
omf,mnfcs
omt,food
osd,crops
osg,svces
otn,mnfcs
otp,otp
oxt,oxt
p_c,p_c
pcr,food
pdr,crops
pfb,crops
ppp,mnfcs
rmk,rmk
ros,svces
rpp,mnfcs
rsa,svces
sgr,food
tex,mnfcs
trd,svces
v_f,crops
vol,food
wap,mnfcs
whs,svces
wht,crops
wol,livestock
wtp,wtp
wtr,wtr
