COMM,mapping
atp,atp
b_t,food
c_b,crops
cmn,cmn
cmt,food
cns,cns
coa,mnfcs
crp,mnfcs
ctl,livestock
dwe,dwe
ele,mnfcs
ely,mnfcs
fmp,mnfcs
frs,frs
fsh,food
gas,mnfcs
gdt,mnfcs
gro,crops
i_s,mnfcs
isr,isr
lea,mnfcs
lum,mnfcs
mil,food
mvh,mnfcs
nfm,mnfcs
nmm,mnfcs
oap,food
obs,obs
ocr,crops
ofd,food
ofi,ofi
oil,mnfcs
ome,mnfcs
omf,mnfcs
omn,mnfcs
omt,food
osd,crops
osg,osg
otn,mnfcs
otp,otp
p_c,mnfcs
pcr,food
pdr,crops
pfb,crops
ppp,mnfcs
rmk,livestock
ros,ros
sgr,food
tex,mnfcs
trd,trd
v_f,crops
vol,food
wap,mnfcs
wht,crops
wol,livestock
wtp,wtp
wtr,wtr
